monthly_income,collateral_value,loan_amount,collateral_debt,verified_restriction,dishonored_checks,expired_debts,banking_debts,commercial_debts,protests,informed_restriction,monthly_payment,auto_brand,auto_model,auto_year,form_completed,sent_to_analysis,channel,landing_page,landing_page_product,utm_term
4000.0,24000.0,10000.0,0.0,0.0,0,0,0,0,0,0.0,323.53,GM - Chevrolet,Astra Advantage 2.0 MPFI 8V FlexPower 5p,2007.0,0.0,0.0,display,/,HomePage,
15000.0,60630.0,10000.0,0.0,0.0,0,0,0,0,0,,,Mitsubishi,ASX 2.0 16V 4x4 160cv Aut.,2012.0,0.0,1.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
12000.0,40000.0,7000.0,900.0,0.0,0,0,0,0,0,1.0,307.07,Honda,Fit LX 1.4/ 1.4 Flex 8V/16V 5p Mec.,2012.0,0.0,0.0,display,/emprestimos/garantia-veiculo/solicitar,,m
1500.0,16000.0,7000.0,,0.0,0,0,0,0,0,0.0,369.44,GM - Chevrolet,Corsa Hat. Maxx 1.0/ 1.0 FlexPower 8V 5p,2005.0,0.0,0.0,search,/,HomePage,m
5100.0,78000.0,30000.0,0.0,0.0,0,0,0,0,0,0.0,1019.81,Mitsubishi,Pajero HPE Full 3.8 V6 250cv 3p Aut.,2009.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,c
2000.0,18000.0,7000.0,,0.0,0,0,0,0,0,0.0,466.67,Fiat,500 Cabrio/500 Coupe GUCCI/Flex 1.4 Aut,2012.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,
2100.0,22000.0,14361.7,,0.0,0,0,0,0,0,0.0,488.2,Peugeot,207 SW XR Sport 1.4 Flex 8V 5p,2009.0,0.0,1.0,search,/,HomePage,m
5000.0,35000.0,5000.0,,0.0,0,0,0,0,0,0.0,487.44,Fiat,LINEA 1.9/ HLX 1.9/ 1.8 Flex 16V 4p,2011.0,0.0,1.0,remarketing,/emprestimos/solicitar,PersonalLoan,
4300.0,17000.0,10000.0,5000.0,0.0,0,0,0,0,0,0.0,666.67,Fiat,Siena HLX 1.8 mpi Flex 8V 4p,2006.0,1.0,0.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
10000.0,29000.0,26000.0,,0.0,0,0,0,0,0,0.0,1083.33,Renault,LOGAN Expression Hi-Flex 1.6 16V 4p Aut,2013.0,1.0,1.0,remarketing,/emprestimos/solicitar,PersonalLoan,
8000.0,26000.0,20000.0,0.0,1.0,0,0,0,1,0,0.0,877.33,GM - Chevrolet,AGILE LTZ 1.4 MPFI 8V FlexPower 5p,2011.0,0.0,1.0,display,/emprestimos/solicitar,PersonalLoan,c
3500.0,15000.0,13500.0,0.0,0.0,0,0,0,0,0,0.0,773.29,Peugeot,206 SW Presence 1.4/ 1.4 Flex 8V 5p,2005.0,0.0,0.0,display,/emprestimos/solicitar,PersonalLoan,c
4000.0,19000.0,5000.0,,0.0,0,0,0,0,0,0.0,333.33,GM - Chevrolet,Celta Spirit/ LT 1.0 MPFI 8V FlexP. 5p,2010.0,0.0,1.0,search,/,HomePage,
4500.0,60000.0,5000.0,,0.0,0,0,0,0,0,0.0,333.33,Peugeot,3008 Griffe 1.6 Turbo 16V 5p Aut.,2014.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
4000.0,13000.0,9000.0,,1.0,0,0,0,0,0,1.0,600.0,Peugeot,206 SW Presence 1.4/ 1.4 Flex 8V 5p,2005.0,1.0,0.0,display,/emprestimos/garantia-veiculo/solicitar,,
2450.0,23000.0,16755.32,8000.0,1.0,0,0,0,1,0,1.0,735.0,Ford,KA 1.0 8V/1.0 8V ST Flex 3p,2013.0,1.0,0.0,emailaffiliates,/emprestimos/solicitar,PersonalLoan,
2500.0,19967.0,17097.26,1600.0,0.0,0,0,0,0,0,0.0,750.0,GM - Chevrolet,Classic/ Classic LS 1.0 VHC FlexPower 4p,2011.0,1.0,1.0,search,/emprestimos/garantia-veiculo/solicitar,,m
15000.0,44000.0,15000.0,,0.0,0,0,0,0,0,0.0,1625.0,Toyota,ETIOS 1.3 Flex 16V 5p Mec.,2013.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
7000.0,12000.0,10800.0,1000.0,1.0,0,0,1,1,0,1.0,367.13,VW - VolksWagen,Gol 1.6 Mi Rallye I MOTION T. Flex 8V 4p,2014.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,c
3300.0,10000.0,5000.0,,0.0,0,0,0,0,0,0.0,169.97,Toyota,Corolla SE-G 1.8/1.8 Flex 16V Aut.,2006.0,0.0,0.0,direct,/,HomePage,
4500.0,18000.0,16200.0,,1.0,0,0,1,1,0,1.0,550.0,GM - Chevrolet,Astra Advantage 2.0 MPFI FlexPower 8V 3p,2005.0,0.0,0.0,emailaffiliates,/emprestimos/solicitar,PersonalLoan,
2000.0,16000.0,13000.0,700.0,0.0,0,0,0,0,0,0.0,570.27,Ford,Focus 1.6 S/SE/SE Plus Flex 8V/16V  5p,2005.0,1.0,0.0,search,/emprestimos/solicitar,PersonalLoan,m
5000.0,20000.0,12000.0,4000.0,1.0,0,0,0,1,0,0.0,687.37,VW - VolksWagen,Fox Plus 1.6Mi/ 1.6Mi Total Flex 8V 4p,2008.0,1.0,0.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
2700.0,17000.0,15300.0,14000.0,0.0,0,0,0,0,0,0.0,520.1,GM - Chevrolet,Corsa Hat. Maxx 1.0/ 1.0 FlexPower 8V 5p,2009.0,0.0,0.0,search,/,HomePage,m
1900.0,16000.0,12993.92,780.0,0.0,0,0,0,0,0,1.0,570.0,Fiat,Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 4p,2010.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,m
13750.0,32000.0,28800.0,9500.0,0.0,0,0,0,0,0,0.0,1383.36,Citroën,C3 Tendance 1.5 Flex 8V 5p Mec.,2013.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
10000.0,130000.0,60000.0,0.0,0.0,0,0,0,0,0,0.0,2039.61,Volvo,V50 T-5 2.5 220cv Aut.,2006.0,1.0,0.0,seo,/,HomePage,
3500.0,35000.0,10000.0,30000.0,0.0,0,0,0,0,0,0.0,416.67,Renault,SANDERO STEPWAY Hi-F. R. CURL 1.6 16V 5p,2012.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,
2200.0,18000.0,7000.0,0.0,0.0,0,0,0,0,0,0.0,291.67,Fiat,Palio Celebration 1.0 Fire Flex 8V 4p,2007.0,1.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
1500.0,23500.0,10258.36,71.0,1.0,0,0,0,1,0,1.0,348.72,JAC,J3 1.4 16V 5p Mec.,2012.0,0.0,0.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,c
2600.0,15000.0,13500.0,0.0,0.0,0,0,0,0,0,0.0,562.5,Fiat,Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 4p,2008.0,0.0,0.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,
5000.0,15000.0,13500.0,,0.0,0,0,0,0,0,0.0,754.82,Ford,EcoSport XLT FREESTYLE 1.6 Flex 8V 5p,2008.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
3000.0,20000.0,10000.0,1800.0,1.0,0,0,1,0,0,1.0,666.67,GM - Chevrolet,Classic/ Classic LS 1.0 VHC FlexPower 4p,2013.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,c
4500.0,40000.0,15000.0,,0.0,0,0,0,0,0,0.0,485.3,Ford,Ka 1.0 SEL TiCVT Flex 5p,2016.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,
7000.0,30000.0,5000.0,0.0,0.0,0,0,0,0,0,0.0,541.67,Fiat,Palio ATTRACTIVE 1.4 EVO Fire Flex 8V 5p,2011.0,1.0,1.0,search,/emprestimos/solicitar,PersonalLoan,
11033.0,45000.0,15000.0,,0.0,0,0,0,0,0,0.0,563.0,Hyundai,HB20 Premium 1.6 Flex 16V Aut.,2014.0,0.0,1.0,search,/emprestimo/garantia-veiculo,AutoRefinancing,t
10000.0,42000.0,37800.0,,0.0,0,0,0,0,0,0.0,2078.0,Honda,CITY Sedan DX 1.5 Flex 16V Mec.,2014.0,0.0,1.0,search,/emprestimo/garantia-veiculo,AutoRefinancing,c
6000.0,21500.0,19350.0,0.0,0.0,0,0,0,0,0,0.0,821.44,VW - VolksWagen,Kombi Standard 1.4 Mi Total Flex 8V,2008.0,1.0,0.0,search,/emprestimo/garantia-veiculo,AutoRefinancing,c
5000.0,25708.0,11710.0,,0.0,0,0,0,0,0,0.0,1141.57,GM - Chevrolet,MONTANA LS 1.4 ECONOFLEX 8V 2p,2011.0,1.0,0.0,,,,
20000.0,70125.0,62000.0,,0.0,0,0,0,0,0,0.0,2583.33,Mercedes-Benz,Sprinter 311 Chassi 2.2 Diesel,2014.0,1.0,0.0,direct,/emprestimos/garantia-imovel/solicitar,HomeRefinancing,
2500.0,17000.0,12000.0,,0.0,0,0,0,0,0,0.0,509.42,VW - VolksWagen,Fox Plus 1.0Mi/ 1.0Mi Total Flex 8V 4p,2006.0,0.0,0.0,,,,
10000.0,75890.0,5000.0,0.0,0.0,0,0,0,0,0,,,Fiat,Toro Freedom 1.8 16V Flex Aut.,2017.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
9000.0,75789.0,55000.0,30000.0,0.0,0,0,0,0,0,,,VW - VolksWagen,TOUAREG 4.2 32V V8 310cv Tiptronic 5p,2009.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
4600.0,21000.0,18900.0,0.0,0.0,0,0,0,0,0,0.0,642.48,Fiat,Idea HLX 1.8 mpi Flex 8V 5p,2006.0,1.0,0.0,seo,/emprestimos/garantia-veiculo/solicitar,,
1800.0,13000.0,5000.0,,0.0,0,0,0,0,0,0.0,161.77,Renault,Clio Authentique 1.0 8V 3p,2006.0,0.0,0.0,remarketing,/,HomePage,
4000.0,17000.0,15000.0,2800.0,0.0,0,0,0,0,0,0.0,625.0,VW - VolksWagen,Gol City (Trend) 1.0 Mi Total Flex 8V 2p,2010.0,0.0,0.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,
4000.0,18000.0,15000.0,,0.0,0,0,0,0,0,0.0,625.0,Honda,Fit LXL 1.4/ 1.4 Flex 8V/16V 5p Mec.,2012.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,
3000.0,30000.0,10000.0,,0.0,0,0,0,0,0,0.0,697.44,Ford,EcoSport XLT 1.6/ 1.6 Flex 8V 5p,2008.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
4116.0,36000.0,6500.0,,0.0,0,0,0,0,0,0.0,270.83,Ford,EcoSport XLT FREESTYLE 1.6 Flex 8V 5p,2011.0,0.0,0.0,direct,/,HomePage,
5000.0,12000.0,10000.0,0.0,0.0,0,0,0,0,0,0.0,323.53,Renault,SANDERO Expression Hi-Flex 1.0 16V 5p,2010.0,1.0,1.0,direct,/,HomePage,
2500.0,11000.0,9900.0,,0.0,0,0,0,0,0,0.0,320.3,GM - Chevrolet,Corsa Sed.Wind 1.0/Millenium/Classic VHC,1999.0,0.0,0.0,search,/emprestimos/garantia-veiculo/solicitar,,
2700.0,15000.0,5000.0,0.0,0.0,0,0,0,0,0,0.0,279.56,VW - VolksWagen,Gol Plus 1.0 Mi Total Flex 2p,2007.0,0.0,0.0,search,/,HomePage,
4200.0,25021.0,5000.0,0.0,0.0,0,0,0,0,0,,,Fiat,UNO SPORTING 1.4 EVO Fire Flex 8V 4p,2011.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
2600.0,14000.0,12600.0,0.0,0.0,0,0,0,0,0,0.0,428.32,Fiat,Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v,2006.0,1.0,1.0,search,/emprestimos/garantia-veiculo/solicitar,,c
5800.0,36000.0,32400.0,0.0,0.0,0,0,0,0,0,0.0,1048.25,Hyundai,Tucson 2.0 16V Aut.,2009.0,1.0,0.0,search,/emprestimos/garantia-veiculo/solicitar,,t
3615.0,44000.0,10000.0,0.0,0.0,0,0,0,0,0,0.0,974.87,Peugeot,208 Griffe 1.6 Flex 16V 5p Mec.,2014.0,1.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
5000.0,28000.0,16000.0,,0.0,0,0,0,0,0,0.0,894.61,Fiat,Strada Working 1.4 mpi Fire Flex 8V CS,2012.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
4800.0,23000.0,7000.0,0.0,0.0,0,0,0,0,0,0.0,291.67,Fiat,Punto  ELX 1.4 Fire Flex 8V 5p,2008.0,1.0,0.0,search,/,HomePage,
4980.0,28680.0,21694.0,,1.0,0,0,0,0,0,0.0,1242.0,VW - VolksWagen,VOYAGE 1.0/1.0 City Mi Total Flex 8V 4p,2013.0,0.0,0.0,search,/emprestimo/garantia-veiculo,AutoRefinancing,m
4200.0,25284.0,22755.6,,0.0,0,0,0,0,0,0.0,998.21,Nissan,LIVINA SL 1.6 16V Flex Fuel 5p,2010.0,0.0,0.0,direct,/blog/artigos/emprestimos/refinanciamento-de-veiculos-itau,,
7000.0,24500.0,15000.0,,0.0,0,0,0,0,0,0.0,1033.0,VW - VolksWagen,VOYAGE 1.0 Mi Total Flex 8V 4p,2011.0,0.0,0.0,search,/emprestimos/garantia-veiculo/solicitar,,c
3100.0,25000.0,8000.0,,0.0,0,0,0,0,0,1.0,422.22,Renault,SANDERO Authentique Hi-Flex 1.0 16V 5p,2013.0,0.0,0.0,search,/emprestimos/garantia-veiculo/solicitar,,
3500.0,26000.0,10000.0,,0.0,0,0,0,0,0,0.0,572.0,Nissan,MARCH SR 1.6 16V Flex Fuel 5p,2012.0,0.0,0.0,search,/,HomePage,c
2500.0,36000.0,5000.0,,0.0,0,0,0,0,0,0.0,161.77,VW - VolksWagen,Fox Rock in Rio 1.6 Mi Total Flex 8V 5p,2014.0,1.0,0.0,referral,/emprestimos,,
1800.0,15000.0,5000.0,1800.0,0.0,0,0,0,0,0,0.0,219.0,VW - VolksWagen,Gol Plus 1.0 Mi Total Flex 2p,2008.0,0.0,0.0,search,/emprestimo/garantia-veiculo,AutoRefinancing,m
10000.0,20907.0,18816.0,,0.0,0,0,0,0,0,0.0,639.0,Fiat,Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p,2012.0,0.0,0.0,search,/emprestimo/garantia-veiculo,AutoRefinancing,c
11460.0,29000.0,5100.0,0.0,0.0,0,0,0,0,0,0.0,503.83,VW - VolksWagen,Fox 1.0 Mi Total Flex 8V 5p,2012.0,1.0,1.0,search,/emprestimos/solicitar,PersonalLoan,c
3000.0,33893.0,15500.0,0.0,0.0,0,0,0,0,0,,,Peugeot,307 Feline/Griff/Premi. 2.0 Flex 5p Aut,2012.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
12000.0,31000.0,27900.0,,0.0,0,0,0,0,0,0.0,1223.88,Kia Motors,Picanto EX 1.1/ 1.0/ 1.0 Flex Aut,2012.0,1.0,1.0,direct,/,HomePage,
2200.0,8000.0,5000.0,,0.0,0,0,0,0,0,0.0,161.77,VW - VolksWagen,Gol (novo) 1.0 Mi Total Flex 8V 4p,2012.0,0.0,0.0,social,/emprestimos/solicitar,PersonalLoan,
5000.0,50000.0,21000.0,0.0,1.0,0,0,0,1,0,0.0,962.5,Ford,Courier XL/XL-RS 1.6/ XL 1.6 Flex,2005.0,0.0,0.0,search,/,HomePage,
8000.0,35000.0,5000.0,0.0,0.0,0,0,0,0,0,0.0,487.44,GM - Chevrolet,Vectra Elegan. 2.0 MPFI 8V FlexPower Mec,2011.0,0.0,0.0,direct,/usuarios/senha/editar,,
4000.0,23000.0,20700.0,16.0,1.0,0,0,1,0,0,0.0,703.67,VW - VolksWagen,VOYAGE TREND 1.6 Mi Total Flex 8V 4p,2010.0,0.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,c
15000.0,50000.0,45000.0,,0.0,0,0,0,0,0,0.0,1975.97,Honda,Civic Sedan LXS 1.8/1.8 Flex 16V Aut. 4p,2013.0,1.0,0.0,direct,/,HomePage,
2900.0,21000.0,5000.0,,1.0,0,0,0,0,0,0.0,279.56,Renault,SANDERO STEPWAY Hi-Flex 1.6 16V 5p Aut.,2012.0,0.0,0.0,display,/,HomePage,
3550.0,20000.0,10000.0,6.55,0.0,0,0,0,0,0,0.0,439.0,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 5p,2010.0,0.0,0.0,search,/emprestimo/garantia-veiculo,AutoRefinancing,m
1500.0,20000.0,5000.0,,1.0,0,0,0,1,0,1.0,333.33,VW - VolksWagen,Gol 1.0 Plus 16v 4p,2000.0,0.0,0.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,m
2288.0,23100.0,5000.0,0.0,0.0,0,0,0,0,0,0.0,541.67,VW - VolksWagen,VOYAGE 1.0/1.0 City Mi Total Flex 8V 4p,2011.0,0.0,0.0,search,/,HomePage,
1500.0,7500.0,6750.0,0.0,1.0,0,0,1,1,0,0.0,296.1,Fiat,Palio Weekend ELX 1.4 mpi Fire Flex 8V,2008.0,0.0,0.0,display,/,HomePage,c
5000.0,22000.0,19800.0,0.0,0.0,0,0,0,0,0,0.0,868.56,VW - VolksWagen,Polo Sed. COMFORT. 1.6 Mi Tot. Flex 8v,2005.0,0.0,0.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,c
13000.0,47000.0,42300.0,0.0,0.0,0,0,0,0,0,0.0,2820.0,Hyundai,Tucson 2.0 16V Flex Aut.,2013.0,1.0,0.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
8000.0,26000.0,21000.0,0.0,1.0,1,0,1,1,0,0.0,921.2,VW - VolksWagen,Gol (novo) 1.6 Mi Total Flex 8V 4p,2013.0,0.0,0.0,search,/emprestimos/garantia-veiculo/solicitar,,m
8500.0,30000.0,5000.0,0.0,0.0,0,0,0,0,0,1.0,263.89,GM - Chevrolet,COBALT LT 1.4 8V FlexPower 4p,2012.0,0.0,1.0,social,/emprestimos/solicitar,PersonalLoan,
6600.0,45000.0,30000.0,,0.0,0,0,0,0,0,0.0,1583.33,Fiat,Siena Celebration 1.0 Fire Flex 8V 4p,2010.0,0.0,0.0,search,/emprestimos/garantia-veiculo/solicitar,,
5800.0,28000.0,5800.0,,1.0,0,0,1,1,0,1.0,197.16,Ford,EcoSport XLT FREESTYLE 1.6 Flex 8V 5p,2009.0,1.0,0.0,referral,/emprestimos/garantia-veiculo/solicitar,,
6200.0,20000.0,5000.0,0.0,0.0,0,0,0,0,0,0.0,541.67,Ford,Fiesta 1.6 16V Flex Aut. 5p,2013.0,0.0,1.0,search,/emprestimos/solicitar,PersonalLoan,
12000.0,28000.0,25200.0,,0.0,0,0,0,0,0,0.0,1105.44,VW - VolksWagen,up! move 1.0 T. Flex 12V 3p,2014.0,1.0,1.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
10000.0,30000.0,27000.0,,0.0,0,0,0,0,0,0.0,1125.0,VW - VolksWagen,Fox 1.6 Mi Total Flex 8V 5p,2012.0,0.0,1.0,search,/emprestimos/garantia-veiculo/solicitar,,c
2500.0,25000.0,14400.0,,0.0,0,0,0,0,0,0.0,600.0,Fiat,Palio ESSENCE 1.6 Flex 16V 5p,2012.0,0.0,0.0,,,,
3500.0,16000.0,14400.0,0.0,0.0,0,0,0,0,0,0.0,489.51,GM - Chevrolet,Celta Life/ LS 1.0 MPFI 8V FlexPower 3p,2012.0,1.0,1.0,search,/,HomePage,m
4500.0,14382.0,5000.0,0.0,0.0,0,0,0,0,0,,,VW - VolksWagen,Gol 1.0 Plus 16v 4p,2005.0,0.0,0.0,affiliates,/emprestimos/garantia-veiculo/guia-bolso,,
5000.0,26000.0,22000.0,,0.0,0,0,0,0,0,0.0,1230.08,Renault,SANDERO STEPWAY Hi-Flex 1.6 16V 5p,2010.0,0.0,1.0,search,/emprestimos/solicitar,PersonalLoan,c
8000.0,30000.0,27000.0,,1.0,1,0,1,1,1,1.0,917.83,VW - VolksWagen,Fox 1.6 Mi Total Flex 8V 5p,2011.0,1.0,0.0,direct,/usuarios/senha/editar,,
2400.0,20664.0,10000.0,0.0,0.0,0,0,0,0,0,0.0,559.13,GM - Chevrolet,Classic/ Classic LS 1.0 VHC FlexPower 4p,2011.0,1.0,1.0,search,/emprestimos/solicitar,PersonalLoan,
2500.0,20000.0,5000.0,0.0,0.0,0,0,0,0,0,0.0,169.97,GM - Chevrolet,PRISMA Sed. LTZ 1.4 8V FlexPower 4p,2013.0,0.0,0.0,search,/,HomePage,
5800.0,25000.0,10000.0,0.0,0.0,0,0,0,0,0,0.0,323.53,VW - VolksWagen,Gol 1.8 Mi Power Total Flex 8V 4p,2005.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,
6000.0,18000.0,16000.0,0.0,0.0,0,0,0,0,0,0.0,679.23,GM - Chevrolet,Meriva Joy 1.8 MPFI 8V FlexPower,2005.0,1.0,1.0,remarketing,/emprestimos/solicitar,PersonalLoan,
3100.0,14000.0,12600.0,2800.0,0.0,0,0,0,0,0,0.0,525.0,Peugeot,206 Holiday 1.4 8V 75cv 3p,2006.0,0.0,0.0,search,/emprestimos/solicitar,PersonalLoan,m
3796.0,25900.0,8000.0,0.0,0.0,0,0,0,0,0,0.0,288.05,GM - Chevrolet,AGILE LTZ 1.4 MPFI 8V FlexPower 5p,2011.0,1.0,1.0,affiliates,/emprestimos/garantia-veiculo/solicitar,,
7000.0,19000.0,17100.0,700.0,0.0,0,0,0,0,0,1.0,750.12,VW - VolksWagen,Gol (novo) 1.0 Mi Total Flex 8V 4p,2011.0,0.0,0.0,emailaffiliates,/emprestimos/solicitar,PersonalLoan,
5000.0,19500.0,17550.0,0.0,1.0,0,0,0,1,0,0.0,567.8,VW - VolksWagen,Fox City 1.0 Mi/ 1.0Mi Total Flex 8V 5p,2008.0,1.0,0.0,remarketing,/emprestimos/garantia-veiculo/solicitar,,
8000.0,30000.0,27000.0,0.0,0.0,0,0,0,0,0,0.0,917.83,Fiat,Doblo  Cargo 1.4 mpi Fire Flex 8V 3p,2010.0,0.0,1.0,search,/,HomePage,c
10000.0,25000.0,22500.0,,1.0,1,0,1,0,0,0.0,987.0,Ford,KA 1.0 8V/1.0 8V ST Flex 3p,2011.0,1.0,0.0,remarketing,/emprestimos/solicitar,PersonalLoan,c
4000.0,27000.0,20000.0,0.0,0.0,0,0,0,0,0,0.0,877.33,Honda,Fit LX 1.4/ 1.4 Flex 8V/16V 5p Mec.,2009.0,0.0,1.0,emailaffiliates,/emprestimos/solicitar,PersonalLoan,
